iter	Passed	Remaining
0	0	88
1	1	56
2	1	45
3	1	38
4	1	36
5	2	34
6	2	32
7	2	31
8	3	30
9	3	29
10	3	29
11	4	30
12	4	29
13	4	29
14	5	29
15	5	28
16	5	27
17	5	27
18	6	26
19	6	26
20	6	25
21	7	25
22	7	24
23	7	24
24	8	24
25	8	23
26	8	23
27	8	22
28	9	22
29	9	21
30	9	21
31	9	21
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	14
51	14	13
52	15	13
53	15	13
54	15	12
55	16	12
56	16	12
57	16	12
58	16	11
59	17	11
60	17	11
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	18	9
67	19	9
68	19	8
69	19	8
70	20	8
71	20	7
72	20	7
73	20	7
74	21	7
75	21	6
76	21	6
77	21	6
78	22	5
79	22	5
80	22	5
81	22	5
82	23	4
83	23	4
84	23	4
85	24	3
86	24	3
87	24	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	26	1
95	27	1
96	27	0
97	27	0
98	28	0
99	28	0
